datetime,24_HR_PCP
2024-02-27,0.0
2024-02-28,0.0
2024-02-29,0.0
2024-03-01,0.76
2024-03-02,1.78
2024-03-03,0.0
2024-03-04,0.51
2024-03-05,4.57
2024-03-06,0.0
2024-03-07,0.0
2024-03-08,0.0
2024-03-09,0.0
2024-03-10,0.0
2024-03-11,0.51
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,0.0
2024-03-16,0.0
2024-03-17,0.0
2024-03-18,238.25
2024-03-19,0.0
2024-03-20,0.0
2024-03-21,0.25
2024-03-22,0.0
2024-03-23,3.81
2024-03-24,0.0
2024-03-25,0.0
2024-03-26,0.0
2024-03-27,2.03
2024-03-28,0.76
2024-03-29,0.0
2024-03-30,0.51
2024-03-31,0.0
2024-04-01,0.0
2024-04-02,0.0
2024-04-03,3.56
2024-04-04,10.16
2024-04-05,6.86
2024-04-06,0.0
2024-04-07,0.0
2024-04-08,0.51
2024-04-09,0.0
2024-04-10,0.0
2024-04-11,0.0
2024-04-12,0.51
2024-04-13,0.0
2024-04-14,0.0
2024-04-15,0.0
2024-04-16,0.0
2024-04-17,0.0
2024-04-18,0.0
2024-04-19,0.25
2024-04-20,0.0
2024-04-21,0.0
2024-04-22,0.0
2024-04-23,0.0
2024-04-24,0.0
2024-04-25,0.0
2024-04-26,0.0
2024-04-27,0.0
2024-04-28,0.0
2024-04-29,0.25
2024-04-30,0.0
2024-05-01,0.0
2024-05-02,0.0
2024-05-03,0.0
2024-05-04,8.89
2024-05-05,5.84
2024-05-06,1.02
2024-05-07,0.0
2024-05-08,0.0
2024-05-09,0.0
2024-05-10,0.25
2024-05-11,0.0
2024-05-12,0.0
2024-05-13,0.0
2024-05-14,0.0
2024-05-15,0.0
2024-05-16,0.0
2024-05-17,0.0
2024-05-18,0.0
2024-05-19,0.0
2024-05-20,0.0
2024-05-21,0.25
2024-05-22,6.1
2024-05-23,0.0
2024-05-24,0.76
2024-05-25,0.0
2024-05-26,0.0
2024-05-27,0.51
2024-05-28,6.6
2024-05-29,0.0
2024-05-30,0.0
2024-05-31,0.0
2024-06-01,0.0
2024-06-02,1.78
2024-06-03,2.54
2024-06-04,0.51
2024-06-05,0.0
2024-06-06,0.0
2024-06-07,0.0
2024-06-08,0.0
2024-06-09,1.02
2024-06-10,0.0
2024-06-11,0.0
2024-06-12,0.0
2024-06-13,0.0
2024-06-14,0.0
2024-06-15,0.0
